,Order Quantity,Unit Cost,Unit Price,Cost,Revenue
0,8.0,45.0,120.0,360.0,950
1,8.0,45.0,120.0,360.0,950
2,23.0,45.0,120.0,1035.0,2401
3,20.0,45.0,120.0,900.0,2088
4,4.0,45.0,120.0,180.0,418
5,5.0,45.0,120.0,225.0,522
6,4.0,45.0,120.0,180.0,379
7,2.0,45.0,120.0,90.0,190
8,22.0,45.0,120.0,990.0,2086
9,21.0,45.0,120.0,945.0,1991
10,8.0,45.0,120.0,360.0,758
11,8.0,45.0,120.0,360.0,758
12,7.0,45.0,120.0,315.0,664
13,7.0,45.0,120.0,315.0,664
14,5.0,45.0,120.0,225.0,594
15,7.0,45.0,120.0,315.0,832
16,2.0,45.0,120.0,90.0,238
17,1.0,45.0,120.0,45.0,119
18,1.0,45.0,120.0,45.0,119
19,1.0,45.0,120.0,45.0,119
20,6.0,45.0,120.0,270.0,713
21,8.0,45.0,120.0,360.0,950
22,9.0,45.0,120.0,405.0,929
23,7.0,45.0,120.0,315.0,722
24,3.0,45.0,120.0,135.0,356
25,1.0,45.0,120.0,45.0,119
26,6.0,45.0,120.0,270.0,713
27,5.0,45.0,120.0,225.0,594
28,4.0,45.0,120.0,180.0,475
29,4.0,45.0,120.0,180.0,475
30,20.0,45.0,120.0,900.0,2376
31,22.0,45.0,120.0,990.0,2614
32,24.0,45.0,120.0,1080.0,2851
33,23.0,45.0,120.0,1035.0,2732
34,9.0,45.0,120.0,405.0,929
35,9.0,45.0,120.0,405.0,929
36,25.0,45.0,120.0,1125.0,2970
37,23.0,45.0,120.0,1035.0,2732
38,10.0,45.0,120.0,450.0,1176
39,10.0,45.0,120.0,450.0,1176
40,11.0,45.0,120.0,495.0,1294
41,11.0,45.0,120.0,495.0,1294
42,8.0,45.0,120.0,360.0,941
43,10.0,45.0,120.0,450.0,1176
44,2.0,45.0,120.0,90.0,238
45,1.0,45.0,120.0,45.0,119
46,12.0,45.0,120.0,540.0,1426
47,14.0,45.0,120.0,630.0,1663
48,3.0,45.0,120.0,135.0,295
49,1.0,45.0,120.0,45.0,98
50,8.0,45.0,120.0,360.0,787
51,8.0,45.0,120.0,360.0,787
52,28.0,45.0,120.0,1260.0,2957
53,27.0,45.0,120.0,1215.0,2851
54,9.0,45.0,120.0,405.0,907
55,6.0,45.0,120.0,270.0,605
56,6.0,45.0,120.0,270.0,706
57,7.0,45.0,120.0,315.0,823
58,15.0,45.0,120.0,675.0,1728
59,15.0,45.0,120.0,675.0,1728
60,6.0,45.0,120.0,270.0,626
61,3.0,45.0,120.0,135.0,313
62,6.0,45.0,120.0,270.0,590
63,8.0,45.0,120.0,360.0,787
64,7.0,45.0,120.0,315.0,832
65,8.0,45.0,120.0,360.0,950
66,1.0,45.0,120.0,45.0,119
67,1.0,45.0,120.0,45.0,119
68,10.0,45.0,120.0,450.0,1188
69,12.0,45.0,120.0,540.0,1426
70,4.0,45.0,120.0,180.0,470
71,3.0,45.0,120.0,135.0,353
72,2.0,45.0,120.0,90.0,235
73,2.0,45.0,120.0,90.0,235
74,10.0,45.0,120.0,450.0,1176
75,7.0,45.0,120.0,315.0,823
76,13.0,45.0,120.0,585.0,1529
77,12.0,45.0,120.0,540.0,1411
78,7.0,45.0,120.0,315.0,706
79,6.0,45.0,120.0,270.0,605
80,7.0,45.0,120.0,315.0,655
81,9.0,45.0,120.0,405.0,842
82,6.0,45.0,120.0,270.0,706
83,4.0,45.0,120.0,180.0,470
84,17.0,45.0,120.0,765.0,1999
85,16.0,45.0,120.0,720.0,1882
86,1.0,45.0,120.0,45.0,94
87,3.0,45.0,120.0,135.0,281
88,5.0,45.0,120.0,225.0,588
89,4.0,45.0,120.0,180.0,470
90,30.0,45.0,120.0,1350.0,3528
91,27.0,45.0,120.0,1215.0,3175
92,5.0,45.0,120.0,225.0,588
93,2.0,45.0,120.0,90.0,235
94,28.0,45.0,120.0,1260.0,3125
95,29.0,45.0,120.0,1305.0,3236
96,3.0,45.0,120.0,135.0,281
97,1.0,45.0,120.0,45.0,94
98,8.0,45.0,120.0,360.0,941
99,9.0,45.0,120.0,405.0,1058
100,26.0,45.0,120.0,1170.0,3058
101,27.0,45.0,120.0,1215.0,3175
102,5.0,45.0,120.0,225.0,594
103,3.0,45.0,120.0,135.0,356
104,15.0,45.0,120.0,675.0,1782
105,15.0,45.0,120.0,675.0,1782
106,1.0,45.0,120.0,45.0,118
107,3.0,45.0,120.0,135.0,353
108,17.0,45.0,120.0,765.0,1754
109,16.0,45.0,120.0,720.0,1651
110,10.0,45.0,120.0,450.0,936
111,10.0,45.0,120.0,450.0,936
112,10.0,45.0,120.0,450.0,936
113,9.0,45.0,120.0,405.0,842
114,3.0,45.0,120.0,135.0,281
115,2.0,45.0,120.0,90.0,187
116,4.0,45.0,120.0,180.0,461
117,2.0,45.0,120.0,90.0,230
118,3.0,45.0,120.0,135.0,284
119,1.0,45.0,120.0,45.0,95
120,5.0,45.0,120.0,225.0,522
121,3.0,45.0,120.0,135.0,313
122,1.0,45.0,120.0,45.0,118
123,1.0,45.0,120.0,45.0,118
124,2.0,45.0,120.0,90.0,235
125,1.0,45.0,120.0,45.0,118
126,3.0,45.0,120.0,135.0,281
127,5.0,45.0,120.0,225.0,468
128,12.0,45.0,120.0,540.0,1238
129,12.0,45.0,120.0,540.0,1238
130,4.0,45.0,120.0,180.0,418
131,3.0,45.0,120.0,135.0,313
132,5.0,45.0,120.0,225.0,504
133,7.0,45.0,120.0,315.0,706
134,2.0,45.0,120.0,90.0,197
135,3.0,45.0,120.0,135.0,295
136,2.0,45.0,120.0,90.0,209
137,3.0,45.0,120.0,135.0,313
138,3.0,45.0,120.0,135.0,335
139,2.0,45.0,120.0,90.0,223
140,5.0,45.0,120.0,225.0,534
141,7.0,45.0,120.0,315.0,748
142,2.0,45.0,120.0,90.0,238
143,3.0,45.0,120.0,135.0,356
144,10.0,45.0,120.0,450.0,936
145,9.0,45.0,120.0,405.0,842
